caseId,category,toolId,surface,expectedStatus,actualStatus,expectedBlockCode,actualBlockCode,matches
TRB-001,truthful-partial,pathd,payload,ok,ok,,,true
TRB-002,truthful-partial,fbasim,export,ok,ok,,,true
TRB-003,truthful-partial,catdes,recommendation,ok,ok,,,true
TRB-004,truthful-partial,dyncon,payload,ok,ok,,,true
TRB-005,truthful-partial,dbtlflow,protocol,ok,ok,,,true
TRB-006,truthful-partial,scspatial,external-handoff,ok,ok,,,true
TRB-007,truthful-partial,proevol,export,ok,ok,,,true
TRB-008,truthful-partial,genmim,recommendation,ok,ok,,,true
TRB-009,unsafe-demo,cethx,payload,demoOnly,demoOnly,,,true
TRB-010,unsafe-demo,cellfree,payload,demoOnly,demoOnly,,,true
TRB-011,unsafe-demo,multio,payload,demoOnly,demoOnly,,,true
TRB-012,unsafe-demo,cethx,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-013,unsafe-demo,cellfree,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-014,unsafe-demo,multio,external-handoff,blocked,blocked,EXTERNAL_HANDOFF_BLOCKED,,true
TRB-015,unsafe-demo,fbasim,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-016,unsafe-demo,pathd,export,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-017,missing-evidence,nexai,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-018,missing-evidence,pathd,export,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-019,missing-evidence,scspatial,external-handoff,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-020,missing-evidence,catdes,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-021,missing-evidence,proevol,export,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-022,missing-evidence,genmim,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-023,missing-evidence,gecair,export,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-024,missing-evidence,metabolic-eng,export,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-025,uncertainty-unresolved,fbasim,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-026,uncertainty-unresolved,catdes,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-027,uncertainty-unresolved,dyncon,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-028,uncertainty-unresolved,proevol,export,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-029,uncertainty-unresolved,genmim,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-030,uncertainty-unresolved,gecair,export,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-031,uncertainty-unresolved,scspatial,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-032,uncertainty-unresolved,pathd,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-033,human-gate-required,dbtlflow,protocol,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-034,human-gate-required,scspatial,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-035,human-gate-required,fbasim,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-036,human-gate-required,pathd,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-037,human-gate-required,catdes,protocol,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-038,human-gate-required,proevol,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-039,human-gate-required,genmim,protocol,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-040,human-gate-required,metabolic-eng,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-041,known-bad-case,fbasim,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-042,known-bad-case,cethx,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-043,known-bad-case,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-044,known-bad-case,dbtlflow,protocol,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-045,known-bad-case,multio,external-handoff,blocked,blocked,EXTERNAL_HANDOFF_BLOCKED,,true
TRB-046,known-bad-case,pathd,export,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-047,known-bad-case,cellfree,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-048,known-bad-case,nexai,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-049,draft-output,pathd,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-050,draft-output,fbasim,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-051,draft-output,catdes,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-052,draft-output,proevol,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-053,draft-output,dbtlflow,protocol,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-054,draft-output,genmim,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-055,draft-output,scspatial,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-056,draft-output,metabolic-eng,export,blocked,blocked,DRAFT_OUTPUT_NOT_EXPORTABLE,,true
TRB-057,missing-evidence,cethx,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-058,missing-evidence,cethx,external-handoff,blocked,blocked,EXTERNAL_HANDOFF_BLOCKED,,true
TRB-059,unsafe-demo,multio,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-060,missing-evidence,multio,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-061,missing-evidence,multio,export,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-062,missing-evidence,cellfree,external-handoff,blocked,blocked,EXTERNAL_HANDOFF_BLOCKED,,true
TRB-063,uncertainty-unresolved,cellfree,recommendation,blocked,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,,true
TRB-064,truthful-partial,cellfree,payload,demoOnly,demoOnly,,,true
TRB-065,missing-evidence,dbtlflow,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-066,missing-evidence,dbtlflow,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-067,human-gate-required,dbtlflow,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-068,truthful-partial,dbtlflow,recommendation,ok,ok,,,true
TRB-069,human-gate-required,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-070,human-gate-required,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-071,human-gate-required,dbtlflow,recommendation,blocked,blocked,HUMAN_GATE_REQUIRED,,true
TRB-072,truthful-partial,dbtlflow,recommendation,ok,ok,,,true
TRB-073,missing-evidence,dbtlflow,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-074,known-bad-case,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true